id,domain,palette_name,role,hex,hsl,tailwind_name,contrast_ratio,description,tags
c-b2b-001,b2b-admin,professional-blue,primary,#2563EB,"hsl(217, 91%, 53%)",blue-600,4.6:1,Primary action and navigation color for admin interfaces,primary action button nav
c-b2b-002,b2b-admin,professional-blue,primary-hover,#1D4ED8,"hsl(221, 83%, 48%)",blue-700,5.8:1,Hover state for primary elements,primary hover interactive
c-b2b-003,b2b-admin,professional-blue,primary-light,#DBEAFE,"hsl(214, 95%, 93%)",blue-100,1.1:1,Light background for selected items and active states,primary light selected active
c-b2b-004,b2b-admin,neutral-gray,neutral,#6B7280,"hsl(220, 9%, 46%)",gray-500,4.6:1,Secondary text and less prominent UI elements,neutral text secondary muted
c-b2b-005,b2b-admin,neutral-gray,neutral-dark,#374151,"hsl(218, 20%, 27%)",gray-700,9.1:1,Primary text and headings in admin panels,neutral dark text heading
c-b2b-006,b2b-admin,neutral-gray,neutral-light,#F3F4F6,"hsl(220, 14%, 96%)",gray-100,1.1:1,Page backgrounds and table alternate rows,neutral light background zebra
c-b2b-007,b2b-admin,status,success,#059669,"hsl(160, 84%, 39%)",emerald-600,4.5:1,Success states and positive indicators (active, approved),success positive active approved
c-b2b-008,b2b-admin,status,warning,#D97706,"hsl(38, 92%, 44%)",amber-600,3.2:1,Warning states and attention-required indicators,warning attention caution pending
c-b2b-009,b2b-admin,status,error,#DC2626,"hsl(0, 72%, 51%)",red-600,4.5:1,Error states and destructive action indicators,error danger destructive delete
c-b2b-010,b2b-admin,status,info,#2563EB,"hsl(217, 91%, 53%)",blue-600,4.6:1,Informational states and helper indicators,info informational helper
c-b2b-011,b2b-admin,data-severity,critical,#991B1B,"hsl(0, 63%, 35%)",red-800,7.5:1,Critical severity level in data displays,critical severity high alert
c-b2b-012,b2b-admin,data-severity,high,#DC2626,"hsl(0, 72%, 51%)",red-600,4.5:1,High severity level in data displays,high severity elevated risk
c-b2b-013,b2b-admin,data-severity,medium,#D97706,"hsl(38, 92%, 44%)",amber-600,3.2:1,Medium severity level in data displays,medium severity moderate
c-b2b-014,b2b-admin,data-severity,low,#059669,"hsl(160, 84%, 39%)",emerald-600,4.5:1,Low severity level in data displays,low severity minor
c-b2b-015,b2b-admin,surface,surface,#FFFFFF,"hsl(0, 0%, 100%)",white,21:1,Card and panel surfaces,surface card panel white
c-b2b-016,b2b-admin,surface,background,#F9FAFB,"hsl(210, 20%, 98%)",gray-50,19.5:1,Page-level background,background page base
c-b2b-017,b2b-admin,surface,sidebar,#1F2937,"hsl(215, 28%, 17%)",gray-800,12.6:1,Dark sidebar background for admin navigation,sidebar dark nav background
c-b2b-018,b2b-admin,surface,border,#E5E7EB,"hsl(220, 13%, 91%)",gray-200,1.3:1,Default border color for cards and dividers,border divider separator
c-b2b-019,b2b-admin,accent,accent,#7C3AED,"hsl(263, 83%, 58%)",violet-600,4.5:1,Accent color for badges and highlights,accent highlight badge special
