id,domain,category,component_name,variant,use_case,props_config,companion_components,description,tags
cmp-b2b-001,b2b-admin,data-display,DataTable,default,"Display paginated, sortable, filterable data lists","{ ""columns"": ""dynamic"", ""pagination"": true, ""sorting"": true, ""selection"": ""multi"", ""density"": ""compact"" }","Pagination, Checkbox, Badge, DropdownMenu",Compact data table with column sorting and row selection for admin CRUD views,table data list sort filter paginate
cmp-b2b-002,b2b-admin,data-display,DataTable,expandable,"Table rows with expandable detail panels","{ ""columns"": ""dynamic"", ""expandable"": true, ""expandContent"": ""custom"" }","Separator, Badge",Data table with collapsible row details for nested data display,table expandable detail nested
cmp-b2b-003,b2b-admin,data-display,StatCard,default,"Dashboard KPI metric display with trend indicator","{ ""title"": ""string"", ""value"": ""number"", ""change"": ""percentage"", ""trend"": ""up|down|flat"", ""icon"": ""lucide-name"" }","Badge, Progress",Compact stat widget showing metric value with change indicator,stat kpi metric dashboard widget trend
cmp-b2b-004,b2b-admin,data-display,StatCard,sparkline,"Stat card with embedded mini chart area","{ ""title"": ""string"", ""value"": ""number"", ""sparkData"": ""number[]"" }",Badge,Stat widget with sparkline visualization,stat chart sparkline mini visualization
cmp-b2b-005,b2b-admin,forms,ComplexForm,multi-section,"Multi-section form with validation and conditional fields","{ ""sections"": ""FormSection[]"", ""validation"": ""zod-schema"", ""conditionalFields"": true }","Input, Select, Textarea, Switch, DatePicker, Button",Multi-section form for entity creation/editing with grouped fields,form complex multi-section validation create edit
cmp-b2b-006,b2b-admin,forms,ComplexForm,inline-edit,"Inline editable fields within a detail view","{ ""fields"": ""EditableField[]"", ""saveOnBlur"": true }","Input, Select, Button",Fields that switch between display and edit mode on click,form inline edit save blur toggle
cmp-b2b-007,b2b-admin,forms,FilterPanel,horizontal,"Horizontal filter bar with multiple filter types","{ ""filters"": ""FilterConfig[]"", ""searchable"": true, ""clearAll"": true }","Input, Select, DatePicker, Button, Badge",Compact horizontal filter bar for table data filtering,filter search bar horizontal toolbar
cmp-b2b-008,b2b-admin,forms,FilterPanel,sidebar,"Sidebar filter panel with collapsible sections","{ ""sections"": ""FilterSection[]"", ""collapsible"": true }","Checkbox, RadioGroup, Select, Separator",Vertical filter panel for advanced filtering scenarios,filter sidebar advanced collapsible
cmp-b2b-009,b2b-admin,navigation,SidebarNav,collapsible,"Collapsible sidebar with icon-only compact mode","{ ""items"": ""NavItem[]"", ""collapsible"": true, ""defaultCollapsed"": false, ""logo"": ""ReactNode"" }","Button, Separator, Badge",Admin sidebar navigation with expand/collapse and active indicators,sidebar nav collapse icon menu
cmp-b2b-010,b2b-admin,navigation,SidebarNav,nested,"Sidebar with expandable nested menu groups","{ ""items"": ""NavGroup[]"", ""maxDepth"": 2 }","Button, Separator",Multi-level sidebar navigation for complex admin hierarchies,sidebar nav nested group expand
cmp-b2b-011,b2b-admin,layout,DashboardCard,default,"Dashboard widget card with header actions and content area","{ ""title"": ""string"", ""actions"": ""Action[]"", ""fullWidth"": false }","Card, Button, DropdownMenu",Reusable dashboard widget container with title bar and action dropdown,dashboard card widget container header
cmp-b2b-012,b2b-admin,layout,DashboardCard,chart,"Dashboard card with integrated chart placeholder","{ ""title"": ""string"", ""chartType"": ""bar|line|pie|area"" }","Card, Select",Dashboard widget optimized for chart display,dashboard card chart visualization
cmp-b2b-013,b2b-admin,actions,BulkActionBar,default,"Floating action bar for selected table rows","{ ""selectedCount"": ""number"", ""actions"": ""BulkAction[]"" }","Button, AlertDialog, Badge",Contextual action bar shown when rows are selected,bulk action toolbar selection batch
cmp-b2b-014,b2b-admin,feedback,StatusBadge,default,"Status indicator badge with semantic colors","{ ""status"": ""string"", ""colorMap"": ""Record<string, color>"" }",Badge,Colored badge showing entity status (active/inactive/pending),status badge indicator color semantic
cmp-b2b-015,b2b-admin,feedback,StatusBadge,dot,"Status badge with colored dot prefix","{ ""status"": ""string"", ""colorMap"": ""Record<string, color>"" }",Badge,Badge with leading dot indicator for subtle status display,status badge dot indicator
cmp-b2b-016,b2b-admin,data-display,RoleBadge,default,"User role badge with permission level color coding","{ ""role"": ""string"", ""variant"": ""admin|manager|user|viewer"" }",Badge,Color-coded badge showing user role and permission level,role badge permission user admin
cmp-b2b-017,b2b-admin,layout,PageHeader,default,"Page header with breadcrumb, title, description, and action buttons","{ ""breadcrumbs"": ""Crumb[]"", ""title"": ""string"", ""description"": ""string"", ""actions"": ""Action[]"" }","Breadcrumb, Button",Standard admin page header with navigation context,header breadcrumb title action page
cmp-b2b-018,b2b-admin,data-display,AuditLog,timeline,"Timeline display for audit trail and activity logs","{ ""entries"": ""AuditEntry[]"", ""showAvatar"": true }","Avatar, Badge, Separator",Chronological timeline of user actions and system events,audit log timeline activity history
cmp-b2b-019,b2b-admin,overlay,CommandPalette,default,"Keyboard-triggered command palette for quick navigation","{ ""commands"": ""Command[]"", ""placeholder"": ""string"", ""shortcut"": ""Ctrl+K"" }","Command, Dialog",Quick search and navigation command palette,command palette search keyboard shortcut
cmp-b2b-020,b2b-admin,forms,SettingsForm,grouped,"Settings form with categorized sections and save/cancel","{ ""sections"": ""SettingsSection[]"", ""autoSave"": false }","Card, Input, Select, Switch, Separator, Button",Grouped settings form for system configuration pages,settings form config grouped section
