id,domain,category,rule,rationale,priority,applies_to,tags
ir-b2b-001,b2b-admin,layout,Use high-density layouts with compact spacing (12-16px gaps) for data-heavy admin screens,Admin users need to see more data at once to make efficient decisions; reducing whitespace increases data density without sacrificing readability,critical,styles components,density spacing compact admin
ir-b2b-002,b2b-admin,layout,Support collapsible sidebar navigation with icon-only compact mode,Admin panels need maximum content area; collapsible sidebars let users reclaim horizontal space when not navigating,critical,styles components patterns,sidebar collapse navigation icon
ir-b2b-003,b2b-admin,accessibility,All status colors must meet WCAG AA contrast ratio (4.5:1 for normal text),Admin interfaces are used for extended periods; poor contrast causes eye strain and accessibility issues,critical,colors components,wcag contrast accessibility status
ir-b2b-004,b2b-admin,typography,Use 14px base font size for body text in admin interfaces,Compact admin interfaces benefit from slightly smaller text to fit more content while remaining readable on desktop screens,critical,typography,font-size body compact admin
ir-b2b-005,b2b-admin,data-display,Data tables must support sorting; filtering; and pagination as baseline features,Admin users frequently search and organize large datasets; these are non-negotiable table capabilities,critical,components patterns,table sort filter paginate data
ir-b2b-006,b2b-admin,interaction,Destructive actions (delete; deactivate) must require confirmation dialog,Accidental data loss in admin panels can have severe business consequences; confirmation prevents costly mistakes,critical,components patterns,destructive confirm dialog safety
ir-b2b-007,b2b-admin,forms,Complex forms should use multi-section layout with clear section headers,Long admin forms become overwhelming without structure; sections improve scannability and reduce form abandonment,recommended,components patterns,form section layout structure
ir-b2b-008,b2b-admin,navigation,Provide breadcrumb navigation on all detail and edit pages,Users need context about their location in the admin hierarchy to navigate efficiently and avoid disorientation,recommended,components patterns,breadcrumb navigation context hierarchy
ir-b2b-009,b2b-admin,data-display,Show loading skeletons that match the expected content layout,Skeleton loaders provide better perceived performance than spinners and reduce layout shift when content loads,recommended,components patterns,skeleton loading placeholder layout
ir-b2b-010,b2b-admin,interaction,Support keyboard navigation and shortcuts for power users,Admin users perform repetitive tasks; keyboard shortcuts significantly improve productivity and reduce RSI risk,recommended,components patterns,keyboard shortcut navigation accessibility
ir-b2b-011,b2b-admin,colors,Use a professional blue-gray palette as the primary color scheme for admin interfaces,Blue conveys trust and professionalism; gray provides neutral backgrounds for data-heavy content,recommended,colors styles,blue gray professional palette
ir-b2b-012,b2b-admin,data-display,Provide export functionality (CSV/XLSX/PDF) for all data tables,Admin users need to share and analyze data outside the application; export is a standard admin expectation,recommended,components patterns,export csv xlsx pdf table
ir-b2b-013,b2b-admin,feedback,Show toast notifications for async operation results (save; delete; update),Users need immediate feedback that their actions were processed; toasts provide non-intrusive confirmation,recommended,components patterns,toast notification feedback async
ir-b2b-014,b2b-admin,forms,Implement inline validation with clear error messages on form blur,Immediate validation feedback reduces form submission errors and improves the editing experience,recommended,components patterns,validation inline form error
ir-b2b-015,b2b-admin,layout,Support dark sidebar with light content area as default admin theme,Dark sidebars create visual hierarchy between navigation and content areas; reducing cognitive load,optional,styles colors,dark sidebar light content theme
ir-b2b-016,b2b-admin,data-display,Add empty state illustrations with clear call-to-action for new admin sections,Empty states guide new users and reduce confusion when data hasn't been created yet,optional,components patterns,empty state illustration cta
ir-b2b-017,b2b-admin,interaction,Implement command palette (Ctrl+K) for quick navigation in complex admin apps,Power users benefit greatly from keyboard-driven navigation in applications with many pages,optional,components patterns,command palette keyboard navigation
ir-b2b-018,b2b-admin,layout,Use 12-column grid system for dashboard widget layouts,12-column grids provide maximum flexibility for arranging dashboard widgets at various sizes,optional,styles patterns,grid 12-column dashboard layout
ir-ht-001,hotel-travel,interaction,Booking CTA buttons must use high-contrast warm colors (orange/amber) with minimum 44px touch target,Warm colors create urgency and emotional engagement; large touch targets ensure mobile usability for booking actions,critical,colors components,booking cta warm color touch target
ir-ht-002,hotel-travel,data-display,Price display must support multi-currency formatting with clear per-night or per-stay labeling,International travelers need prices in their preferred currency; ambiguous pricing causes booking abandonment,critical,components patterns,price currency format night stay
ir-ht-003,hotel-travel,forms,Guest check-in forms must be mobile-optimized and completable within 90 seconds,Long check-in processes frustrate guests; mobile optimization is essential as most travelers use smartphones,critical,components patterns,checkin form mobile speed guest
ir-ht-004,hotel-travel,accessibility,All interactive elements must have minimum 44x44px touch targets for mobile guests,Travel applications are primarily used on mobile devices; small touch targets cause frustration and errors,critical,styles components,touch target mobile accessibility 44px
ir-ht-005,hotel-travel,data-display,Show availability status with clear color coding: green=available; yellow=limited; red=sold out,Instant visual recognition of availability reduces search time and improves the booking decision process,critical,colors components,availability color coding status calendar
ir-ht-006,hotel-travel,typography,Use serif fonts for hero headings and hotel names to convey hospitality warmth,Serif fonts convey tradition and warmth; appropriate for hospitality branding and creating emotional connection,critical,typography styles,serif heading hotel warmth hospitality
ir-ht-007,hotel-travel,layout,Booking flow must show running total at every step with clear cost breakdown,Price transparency throughout the booking process builds trust and reduces cart abandonment,critical,components patterns,booking total price transparency breakdown
