id,domain,category,name,description,css_values,use_case,tags
s-b2b-001,b2b-admin,layout,dense-dashboard,"High-density dashboard layout with compact spacing for data-heavy screens","gap: 12px; padding: 16px; grid-template-columns: repeat(auto-fill, minmax(280px, 1fr))","Admin dashboards displaying KPIs, charts, and summary cards","dashboard compact grid kpi"
s-b2b-002,b2b-admin,layout,admin-panel,"Full-height admin panel with collapsible sidebar and main content area","display: grid; grid-template-columns: auto 1fr; height: 100vh; overflow: hidden","Admin panels with navigation sidebar and detail content","admin sidebar panel full-height"
s-b2b-003,b2b-admin,layout,data-table-container,"Scrollable table container with sticky header and pagination footer","overflow-x: auto; position: relative; border-radius: 8px; border: 1px solid var(--border)","Data-heavy tables with sorting, filtering, and bulk actions","table scroll sticky pagination"
s-b2b-004,b2b-admin,layout,sidebar-nav,"Collapsible sidebar navigation with icon-only compact mode","width: 240px; transition: width 200ms; &.collapsed { width: 64px }","Primary navigation in admin panels","sidebar nav collapse icon"
s-b2b-005,b2b-admin,layout,form-layout,"Two-column form layout with label-input pairs and action footer","display: grid; grid-template-columns: 200px 1fr; gap: 16px 24px; align-items: start","Complex forms with many fields (user creation, settings)","form grid two-column label"
s-b2b-006,b2b-admin,layout,master-detail,"Split-pane layout with list on left and detail panel on right","display: grid; grid-template-columns: 360px 1fr; height: 100%; overflow: hidden","CRUD interfaces with list + detail view","master-detail split-pane crud"
s-b2b-007,b2b-admin,layout,stat-widget,"Compact stat card with metric value, trend indicator, and sparkline area","padding: 16px; min-width: 200px; display: flex; flex-direction: column; gap: 8px","Dashboard KPI widgets showing metrics with change indicators","stat metric kpi widget trend"
s-b2b-008,b2b-admin,layout,filter-bar,"Horizontal filter bar with multiple filter controls and search input","display: flex; gap: 8px; padding: 12px 0; flex-wrap: wrap; align-items: center","Table filtering with dropdowns, search, and date ranges","filter search bar toolbar"
s-b2b-009,b2b-admin,layout,bulk-action-bar,"Floating action bar shown when rows are selected in a table","position: sticky; bottom: 0; padding: 12px 16px; background: var(--primary); color: white; border-radius: 8px 8px 0 0","Bulk operations on selected table rows (delete, export, status change)","bulk action toolbar selection"
s-b2b-010,b2b-admin,layout,tab-section,"Tab-based section layout for organizing related content groups","border-bottom: 2px solid var(--border); padding: 0 16px","Organizing user profile, settings, or entity details into tabs","tab section organize group"
